,Option,Expiry,K,Type,Mark,S_0,T
0,BTC,13JAN23,9000,C,0.4558,16527.33,0.03561643835616438
1,BTC,13JAN23,9000,P,0.0003,16527.33,0.03561643835616438
2,BTC,13JAN23,10000,C,0.3954,16527.33,0.03561643835616438
3,BTC,13JAN23,10000,P,0.0004,16527.33,0.03561643835616438
4,BTC,13JAN23,11000,C,0.335,16527.33,0.03561643835616438
5,BTC,13JAN23,11000,P,0.0005,16527.33,0.03561643835616438
6,BTC,13JAN23,12000,C,0.2747,16527.33,0.03561643835616438
7,BTC,13JAN23,12000,P,0.0007,16527.33,0.03561643835616438
8,BTC,13JAN23,13000,C,0.2147,16527.33,0.03561643835616438
9,BTC,13JAN23,13000,P,0.0012,16527.33,0.03561643835616438
10,BTC,13JAN23,14000,C,0.156,16527.33,0.03561643835616438
11,BTC,13JAN23,14000,P,0.003,16527.33,0.03561643835616438
12,BTC,13JAN23,14500,C,0.1272,16527.33,0.03561643835616438
13,BTC,13JAN23,14500,P,0.0044,16527.33,0.03561643835616438
14,BTC,13JAN23,15000,C,0.0992,16527.33,0.03561643835616438
15,BTC,13JAN23,15000,P,0.0067,16527.33,0.03561643835616438
16,BTC,13JAN23,15500,C,0.0727,16527.33,0.03561643835616438
17,BTC,13JAN23,15500,P,0.0104,16527.33,0.03561643835616438
18,BTC,13JAN23,16000,C,0.0494,16527.33,0.03561643835616438
19,BTC,13JAN23,16000,P,0.0174,16527.33,0.03561643835616438
20,BTC,13JAN23,16500,C,0.0302,16527.33,0.03561643835616438
21,BTC,13JAN23,16500,P,0.0285,16527.33,0.03561643835616438
22,BTC,13JAN23,17000,C,0.0167,16527.33,0.03561643835616438
23,BTC,13JAN23,17000,P,0.0452,16527.33,0.03561643835616438
24,BTC,13JAN23,17500,C,0.0087,16527.33,0.03561643835616438
25,BTC,13JAN23,17500,P,0.0674,16527.33,0.03561643835616438
26,BTC,13JAN23,18000,C,0.0045,16527.33,0.03561643835616438
27,BTC,13JAN23,18000,P,0.0935,16527.33,0.03561643835616438
28,BTC,13JAN23,19000,C,0.0018,16527.33,0.03561643835616438
29,BTC,13JAN23,19000,P,0.1513,16527.33,0.03561643835616438
30,BTC,13JAN23,20000,C,0.0007,16527.33,0.03561643835616438
